PWVmidTim,Tdelay
20120424/1215,2146.5
20120424/1245,2141.8
20120424/1315,2136.4
20120424/1345,2135.7
20120424/1415,2136.5
20120424/1445,2139.1
20120424/1515,2140.4
20120424/1545,2137.3
20120424/1615,2140.6
20120424/1645,2139.1
20120424/1715,2134.1
20120424/1745,2137.6
20120424/1815,2140.9
20120424/1845,2139.6
20120424/1915,2140.2
20120424/1945,2145.3
20120424/2015,2148.6
20120424/2045,2149.8
20120424/2115,2153.1
20120424/2145,2156.8
20120424/2215,2161.3
20120424/2245,2163.7
20120424/2315,2162.4
20120425/0015,2166.8
20120425/0045,2169.6
20120425/0115,2169.9
20120425/0145,2170.9
20120425/0215,2171.5
20120425/0245,2169.9
20120425/0315,2169.5
20120425/0345,2166.4
20120425/0415,2163.8
20120425/0445,2161.8
20120425/0515,2158.3
20120425/0545,2157.2
20120425/0615,2159.7
20120425/0645,2161.9
20120425/0715,2161.1
20120425/0745,2159.4
20120425/0815,2158.5
20120425/0845,2162.6
20120425/0915,2162.9
20120425/0945,2159.2
20120425/1015,2159.1
20120425/1045,2160.4
20120425/1115,2160.1
20120425/1145,2155.8
20120425/1215,2149.6
20120425/1245,2150.6
20120425/1315,2148.3
20120425/1345,2144.5
20120425/1415,2134.6
20120425/1445,2127.4
20120425/1515,2133.1
20120425/1545,2129.7
20120425/1615,2128.1
20120425/1645,2135.5
20120425/1715,2139.0
20120425/1745,2142.2
20120425/1815,2140.1
20120425/1845,2136.6
20120425/1915,2136.9
20120425/1945,2136.8
20120425/2015,2139.6
20120425/2045,2137.6
20120425/2115,2139.8
20120425/2145,2145.1
20120425/2215,2146.8
20120425/2245,2148.4
20120425/2315,2147.3
20120428/0015,2157.9
20120428/0045,2155.2
20120428/0115,2155.9
20120428/0145,2154.1
20120428/0215,2155.1
20120428/0245,2157.2
20120428/0315,2155.7
20120428/0345,2155.0
20120428/0415,2157.9
20120428/0445,2158.6
20120428/0515,2159.4
20120428/0545,2160.7
20120428/0615,2161.9
20120428/0645,2162.0
20120428/0715,2161.1
20120428/0745,2159.3
20120428/0815,2160.2
20120428/0845,2163.2
20120428/0915,2159.2
20120428/0945,2154.2
20120428/1015,2155.7
20120428/1045,2159.0
20120428/1115,2156.8
20120428/1145,2155.8
20120428/1215,2153.6
20120428/1245,2153.8
20120428/1315,2154.7
20120428/1345,2152.4
20120428/1415,2153.4
20120428/1445,2155.6
20120428/1515,2155.6
20120428/1545,2151.4
20120428/1615,2149.4
20120428/1645,2150.8
20120428/1715,2151.4
20120428/1745,2149.8
20120428/1815,2148.4
20120428/1845,2147.8
20120428/1915,2145.2
20120428/1945,2145.4
20120428/2015,2140.8
20120428/2045,2135.9
20120428/2115,2141.1
20120428/2145,2143.9
20120428/2215,2146.6
20120428/2245,2146.2
20120428/2315,2140.4
20120429/0015,2141.4
20120429/0045,2139.9
20120429/0115,2136.8
20120429/0145,2135.8
20120429/0215,2138.6
20120429/0245,2140.2
20120429/0315,2138.1
20120429/0345,2135.2
20120429/0415,2134.2
20120429/0445,2133.1
20120429/0515,2133.1
20120429/0545,2132.7
20120429/0615,2132.3
20120429/0645,2132.1
20120429/0715,2131.3
20120429/0745,2130.7
20120429/0815,2132.3
20120429/0845,2132.4
20120429/0915,2129.6
20120429/0945,2127.3
20120429/1015,2130.4
20120429/1045,2132.8
20120429/1115,2131.0
20120429/1145,2131.4
20120429/1215,2130.4
20120429/1245,2129.4
20120429/1315,2124.6
20120429/1345,2122.6
20120429/1415,2128.2
20120429/1445,2128.4
20120429/1515,2125.4
20120429/1545,2122.9
20120429/1615,2124.1
20120429/1645,2124.4
20120429/1715,2131.7
20120429/1745,2145.5
20120429/1815,2146.8
20120429/1845,2149.2
20120429/1915,2151.9
20120429/1945,2154.1
20120429/2015,2152.2
20120429/2045,2146.9
20120429/2115,2150.3
20120429/2145,2152.2
20120429/2215,2155.0
20120429/2245,2160.1
20120429/2315,2157.3
20120430/0015,2152.6
20120430/0045,2155.2
20120430/0115,2155.9
20120430/0145,2155.5
20120430/0215,2158.1
20120430/0245,2154.0
20120430/0315,2156.2
20120430/0345,2162.7
20120430/0415,2159.4
20120430/0445,2151.7
20120430/0515,2153.6
20120430/0545,2155.2
20120430/0615,2149.3
20120430/0645,2150.8
20120430/0715,2153.7
20120430/0745,2148.6
20120430/0815,2151.4
20120430/0845,2153.6
20120430/0915,2144.2
20120430/0945,2142.2
20120430/1015,2146.0
20120430/1045,2144.7
20120430/1115,2139.2
20120430/1145,2135.7
20120430/1215,2134.4
20120430/1245,2136.7
20120430/1315,2135.7
20120430/1345,2133.1
20120430/1415,2136.5
20120430/1445,2138.8
20120430/1515,2135.1
20120430/1545,2130.2
20120430/1615,2128.1
20120430/1645,2121.6
20120430/1715,2119.2
20120430/1745,2122.5
20120430/1815,2125.5
20120430/1845,2129.2
20120430/1915,2131.1
20120430/1945,2134.0
20120430/2015,2131.8
20120430/2045,2127.9
20120430/2115,2130.9
20120430/2145,2133.2
20120430/2215,2131.7
20120430/2245,2128.2
20120430/2315,2123.2
20120501/0015,2122.9
20120501/0045,2120.8
20120501/0115,2117.2
20120501/0145,2115.2
20120501/0215,2114.2
20120501/0245,2112.7
20120501/0315,2111.6
20120501/0345,2110.6
20120501/0415,2109.6
20120501/0445,2102.6
20120501/0515,2099.5
20120501/0545,2097.6
20120501/0615,2095.7
20120501/0645,2098.2
20120501/0715,2099.2
20120501/0745,2099.8
20120501/0815,2100.9
20120501/0845,2098.9
20120501/0915,2093.4
20120501/0945,2092.3
20120501/1015,2096.9
20120501/1045,2097.6
20120501/1115,2093.3
20120501/1145,2093.9
20120501/1215,2095.2
20120501/1245,2093.6
20120501/1315,2095.4
20120501/1345,2097.1
20120501/1415,2096.3
20120501/1445,2097.9
20120501/1515,2103.6
20120501/1545,2108.3
20120501/1615,2109.1
20120501/1645,2106.4
20120501/1715,2108.2
20120501/1745,2110.8
20120501/1815,2110.6
20120501/1845,2113.1
20120501/1915,2116.7
20120501/1945,2123.7
20120501/2015,2122.8
20120501/2045,2124.4
20120501/2115,2132.8
20120501/2145,2132.6
20120501/2215,2135.1
20120501/2245,2141.2
20120501/2315,2142.5
20120502/0015,2141.4
20120502/0045,2145.6
20120502/0115,2142.8
20120502/0145,2141.2
20120502/0215,2141.7
20120502/0245,2138.4
20120502/0315,2139.4
20120502/0345,2141.9
20120502/0415,2138.7
20120502/0445,2133.9
20120502/0515,2136.6
20120502/0545,2137.1
20120502/0615,2134.2
20120502/0645,2134.6
20120502/0715,2132.3
20120502/0745,2127.2
20120502/0815,2128.9
20120502/0845,2128.9
20120502/0915,2125.8
20120502/0945,2126.9
20120502/1015,2129.1
20120502/1045,2131.1
20120502/1115,2132.6
20120502/1145,2131.3
20120502/1215,2130.3
20120502/1245,2131.2
20120502/1315,2129.6
20120502/1345,2131.2
20120502/1415,2132.7
20120502/1445,2132.1
20120502/1515,2130.1
20120502/1545,2131.2
20120502/1615,2132.4
20120502/1645,2134.9
20120502/1715,2139.9
20120502/1745,2143.9
20120502/1815,2146.4
20120502/1845,2147.0
20120502/1915,2149.9
20120502/1945,2151.4
20120502/2015,2146.3
20120502/2045,2147.1
20120502/2115,2151.3
20120502/2145,2149.1
20120502/2215,2151.8
20120502/2245,2155.8
20120502/2315,2156.2
20120503/0015,2155.6
20120503/0045,2156.2
20120503/0115,2154.2
20120503/0145,2155.4
20120503/0215,2158.1
20120503/0245,2155.9
20120503/0315,2155.2
20120503/0345,2156.8
20120503/0415,2154.4
20120503/0445,2154.9
20120503/0515,2156.3
20120503/0545,2158.6
20120503/0615,2162.4
20120503/0645,2165.6
20120503/0715,2169.4
20120503/0745,2173.1
20120503/0815,2179.3
20120503/0845,2175.9
20120503/0915,2170.0
20120503/0945,2175.9
20120503/1015,2178.2
20120503/1045,2177.8
20120503/1115,2178.8
20120503/1145,2176.4
20120503/1215,2172.4
20120503/1245,2170.6
20120503/1315,2167.1
20120503/1345,2166.9
20120503/1415,2170.9
20120503/1445,2168.1
20120503/1515,2157.4
20120503/1545,2152.1
20120503/1615,2154.9
20120503/1645,2154.7
20120503/1715,2152.7
20120503/1745,2149.9
20120503/1815,2148.8
20120503/1845,2152.0
20120503/1915,2157.4
20120503/1945,2159.6
20120503/2015,2159.8
20120503/2045,2160.2
20120503/2115,2159.7
20120503/2145,2160.2
20120503/2215,2162.8
20120503/2245,2163.7
20120503/2315,2162.8
20120504/0015,2158.4
20120504/0045,2160.9
20120504/0115,2158.6
20120504/0145,2157.0
20120504/0215,2157.8
20120504/0245,2155.8
20120504/0315,2159.7
20120504/0345,2166.0
20120504/0415,2161.8
20120504/0445,2159.4
20120504/0515,2161.2
20120504/0545,2158.0
20120504/0615,2153.2
20120504/0645,2152.9
20120504/0715,2151.0
20120504/0745,2147.4
20120504/0815,2149.6
20120504/0845,2143.8
20120504/0915,2138.9
20120504/0945,2143.7
20120504/1015,2144.2
20120504/1045,2136.6
20120504/1115,2128.2
20120504/1145,2119.2
20120504/1215,2109.7
20120504/1245,2101.3
20120504/1315,2100.6
20120504/1345,2106.9
20120504/1415,2116.9
20120504/1445,2122.7
20120504/1515,2126.3
20120504/1545,2135.1
20120504/1615,2145.6
20120504/1645,2149.2
20120504/1715,2147.6
20120504/1745,2154.4
20120504/1815,2165.6
20120504/1845,2165.4
20120504/1915,2160.9
20120504/1945,2158.6
20120504/2015,2151.4
20120504/2045,2146.6
20120504/2115,2144.2
20120504/2145,2140.2
20120504/2215,2140.2
20120504/2245,2137.5
20120504/2315,2135.5
20120505/0015,2153.3
20120505/0045,2154.1
20120505/0115,2154.9
20120505/0145,2157.9
20120505/0215,2156.4
20120505/0245,2156.4
20120505/0315,2155.2
20120505/0345,2157.2
20120505/0415,2160.4
20120505/0445,2159.9
20120505/0515,2166.0
20120505/0545,2171.3
20120505/0615,2173.0
20120505/0645,2174.1
20120505/0715,2175.6
20120505/0745,2176.3
20120505/0815,2174.8
20120505/0845,2167.9
20120505/0915,2160.7
20120505/0945,2159.2
20120505/1015,2154.6
20120505/1045,2153.3
20120505/1115,2157.2
20120505/1145,2151.5
20120505/1215,2150.6
20120505/1245,2152.5
20120505/1315,2151.7
20120505/1345,2152.1
20120505/1415,2157.3
20120505/1445,2159.0
20120505/1515,2157.4
20120505/1545,2160.2
20120505/1615,2162.1
20120505/1645,2169.4
20120505/1715,2173.9
20120505/1745,2169.5
20120505/1815,2167.9
20120505/1845,2168.1
20120505/1915,2167.2
20120505/1945,2168.6
20120505/2015,2169.1
20120505/2045,2169.0
20120505/2115,2167.2
20120505/2145,2162.2
20120505/2215,2165.2
20120505/2245,2162.9
20120505/2315,2158.7
20120506/0015,2162.2
20120506/0045,2162.7
20120506/0115,2160.2
20120506/0145,2158.7
20120506/0215,2155.1
20120506/0245,2155.3
20120506/0315,2158.0
20120506/0345,2158.0
20120506/0415,2157.6
20120506/0445,2156.8
20120506/0515,2156.4
20120506/0545,2158.2
20120506/0615,2161.7
20120506/0645,2161.7
20120506/0715,2160.6
20120506/0745,2162.3
20120506/0815,2162.7
20120506/0845,2159.1
20120506/0915,2156.2
20120506/0945,2158.1
20120506/1015,2157.7
20120506/1045,2156.5
20120506/1115,2156.2
20120506/1145,2154.8
20120506/1215,2159.0
20120506/1245,2163.1
20120506/1315,2167.5
20120506/1345,2171.5
20120506/1415,2176.2
20120506/1445,2179.2
20120506/1515,2183.1
20120506/1545,2180.4
20120506/1615,2172.7
20120506/1645,2172.5
20120506/1715,2172.1
20120506/1745,2176.2
20120506/1815,2182.4
20120506/1845,2183.1
20120506/1915,2183.4
20120506/1945,2183.5
20120506/2015,2181.7
20120506/2045,2182.2
20120506/2115,2179.8
20120506/2145,2178.8
20120506/2215,2179.8
20120506/2245,2178.9
20120506/2315,2180.4
20120507/0015,2180.1
20120507/0045,2179.2
20120507/0115,2178.6
20120507/0145,2179.8
20120507/0215,2177.9
20120507/0245,2171.9
20120507/0315,2168.9
20120507/0345,2168.3
20120507/0415,2167.8
20120507/0445,2166.8
20120507/0515,2164.6
20120507/0545,2163.7
20120507/0615,2164.4
20120507/0645,2162.8
20120507/0715,2162.7
20120507/0745,2163.1
20120507/0815,2163.6
20120507/0845,2167.8
20120507/0915,2168.7
20120507/0945,2169.6
20120507/1015,2170.7
20120507/1045,2171.6
20120507/1115,2171.2
20120507/1145,2173.2
20120507/1215,2177.7
20120507/1245,2173.4
20120507/1315,2173.2
20120507/1345,2176.8
20120507/1415,2171.7
20120507/1445,2171.6
20120507/1515,2176.1
20120507/1545,2177.4
20120507/1615,2176.1
20120507/1645,2173.5
20120507/1715,2175.2
20120507/1745,2173.3
20120507/1815,2173.8
20120507/1845,2174.8
20120507/1915,2171.6
20120507/1945,2169.0
20120507/2015,2169.1
20120507/2045,2167.6
20120507/2115,2159.9
20120507/2145,2156.2
20120507/2215,2156.5
20120507/2245,2155.0
20120507/2315,2152.6
20120508/0015,2151.1
20120508/0045,2144.9
20120508/0115,2143.2
20120508/0145,2147.4
20120508/0215,2146.1
20120508/0245,2142.4
20120508/0315,2142.0
20120508/0345,2138.1
20120508/0415,2134.1
20120508/0445,2131.8
20120508/0515,2126.9
20120508/0545,2124.8
20120508/0615,2122.9
20120508/0645,2119.6
20120508/0715,2119.2
20120508/0745,2119.3
20120508/0815,2122.4
20120508/0845,2121.4
20120508/0915,2119.2
20120508/0945,2119.8
20120508/1015,2117.8
20120508/1045,2122.0
20120508/1115,2121.1
20120508/1145,2116.6
20120508/1215,2115.1
20120508/1245,2119.2
20120508/1315,2121.3
20120508/1345,2114.4
20120508/1415,2115.8
20120508/1445,2126.4
20120508/1515,2124.0
20120508/1545,2121.6
20120508/1615,2127.9
20120508/1645,2127.2
20120508/1715,2129.2
20120508/1745,2137.6
20120508/1815,2143.2
20120508/1845,2143.4
20120508/1915,2145.9
20120508/1945,2150.7
20120508/2015,2154.4
20120508/2045,2154.3
20120508/2115,2153.0
20120508/2145,2154.9
20120508/2215,2156.1
20120508/2245,2155.2
20120508/2315,2158.6
20120509/0015,2157.8
20120509/0045,2155.8
20120509/0115,2155.3
20120509/0145,2158.5
20120509/0215,2160.8
20120509/0245,2156.7
20120509/0315,2154.7
20120509/0345,2157.4
20120509/0415,2160.8
20120509/0445,2158.1
20120509/0515,2156.2
20120509/0545,2158.2
20120509/0615,2158.1
20120509/0645,2158.9
20120509/0715,2157.9
20120509/0745,2156.2
20120509/0815,2158.4
20120509/0845,2154.3
20120509/0915,2154.4
20120509/0945,2168.4
20120509/1015,2175.4
20120509/1045,2178.6
20120509/1115,2179.6
20120509/1145,2171.7
20120509/1215,2168.4
20120509/1245,2167.2
20120509/1315,2167.8
20120509/1345,2169.6
20120509/1415,2171.1
20120509/1445,2167.9
20120509/1515,2165.8
20120509/1545,2170.1
20120509/1615,2169.8
20120509/1645,2173.3
20120509/1715,2173.8
20120509/1745,2172.6
20120509/1815,2174.4
20120509/1845,2173.6
20120509/1915,2171.8
20120509/1945,2167.9
20120509/2015,2162.8
20120509/2045,2163.4
20120509/2115,2167.2
20120509/2145,2166.8
20120509/2215,2166.9
20120509/2245,2169.2
20120509/2315,2170.7
20120510/0015,2176.7
20120510/0045,2178.1
20120510/0115,2182.5
20120510/0145,2183.3
20120510/0215,2180.3
20120510/0245,2182.6
20120510/0315,2181.6
20120510/0345,2180.8
20120510/0415,2179.3
20120510/0445,2179.2
20120510/0515,2180.6
20120510/0545,2180.4
20120510/0615,2179.0
20120510/0645,2178.0
20120510/0715,2174.8
20120510/0745,2168.6
20120510/0815,2165.5
20120510/0845,2172.2
20120510/0915,2173.4
20120510/0945,2178.6
20120510/1015,2183.8
20120510/1045,2173.9
20120510/1115,2167.2
20120510/1145,2176.3
20120510/1215,2187.8
20120510/1245,2190.2
20120510/1315,2192.7
20120510/1345,2199.4
20120510/1415,2204.0
20120510/1445,2200.0
20120510/1515,2206.9
20120510/1545,2207.0
20120510/1615,2199.2
20120510/1645,2205.4
20120510/1715,2202.8
20120510/1745,2199.6
20120510/1815,2204.9
20120510/1845,2206.1
20120510/1915,2208.4
20120510/1945,2206.9
20120510/2015,2203.8
20120510/2045,2202.4
20120510/2115,2204.2
20120510/2145,2208.7
20120510/2215,2211.1
20120510/2245,2212.2
20120510/2315,2210.9
20120511/0015,2212.3
20120511/0045,2215.4
20120511/0115,2219.2
20120511/0145,2223.2
20120511/0215,2223.2
20120511/0245,2222.6
20120511/0315,2224.4
20120511/0345,2227.2
20120511/0415,2228.3
20120511/0445,2227.1
20120511/0515,2226.9
20120511/0545,2225.7
20120511/0615,2221.9
20120511/0645,2222.4
20120511/0715,2223.8
20120511/0745,2223.6
20120511/0815,2220.8
20120511/0845,2217.9
20120511/0915,2215.7
20120511/0945,2213.5
20120511/1015,2215.7
20120511/1045,2213.1
20120511/1115,2209.6
20120511/1145,2210.5
20120511/1215,2212.1
20120511/1245,2210.6
20120511/1315,2210.1
20120511/1345,2210.4
20120511/1415,2205.9
20120511/1445,2197.4
20120511/1515,2194.4
20120511/1545,2200.0
20120511/1615,2206.6
20120511/1645,2210.1
20120511/1715,2205.6
20120511/1745,2199.9
20120511/1815,2193.3
20120511/1845,2184.2
20120511/1915,2183.2
20120511/1945,2183.6
20120511/2015,2181.1
20120511/2045,2184.1
20120511/2115,2187.4
20120511/2145,2191.2
20120511/2215,2193.8
20120511/2245,2196.2
20120511/2315,2197.4
20120512/0015,2200.1
20120512/0045,2197.8
20120512/0115,2195.6
20120512/0145,2195.2
20120512/0215,2193.7
20120512/0245,2189.6
20120512/0315,2189.1
20120512/0345,2188.9
20120512/0415,2188.7
20120512/0445,2189.8
20120512/0515,2192.5
20120512/0545,2194.9
20120512/0615,2190.6
20120512/0645,2189.9
20120512/0715,2191.0
20120512/0745,2188.2
20120512/0815,2187.1
20120512/0845,2184.4
20120512/0915,2181.4
20120512/0945,2178.4
20120512/1015,2176.1
20120512/1045,2173.9
20120512/1115,2170.4
20120512/1145,2170.3
20120512/1215,2167.9
20120512/1245,2163.4
20120512/1315,2166.9
20120512/1345,2169.5
20120512/1415,2173.5
20120512/1445,2178.6
20120512/1515,2183.7
20120512/1545,2181.4
20120512/1615,2186.6
20120512/1645,2182.8
20120512/1715,2173.4
20120512/1745,2174.3
20120512/1815,2167.1
20120512/1845,2167.3
20120512/1915,2169.4
20120512/1945,2169.7
20120512/2015,2167.6
20120512/2045,2168.7
20120512/2115,2171.5
20120512/2145,2169.8
20120512/2215,2171.2
20120512/2245,2176.6
20120512/2315,2177.1
20120513/0015,2175.8
20120513/0045,2173.5
20120513/0115,2173.4
20120513/0145,2174.7
20120513/0215,2175.0
20120513/0245,2171.9
20120513/0315,2174.4
20120513/0345,2175.8
20120513/0415,2174.8
20120513/0445,2172.5
20120513/0515,2172.1
20120513/0545,2175.1
20120513/0615,2175.3
20120513/0645,2174.4
20120513/0715,2176.4
20120513/0745,2177.9
20120513/0815,2175.2
20120513/0845,2172.4
20120513/0915,2172.4
20120513/0945,2173.3
20120513/1015,2176.4
20120513/1045,2179.8
20120513/1115,2181.7
20120513/1145,2183.2
20120513/1215,2183.4
20120513/1245,2184.6
20120513/1315,2181.6
20120513/1345,2176.1
20120513/1415,2174.4
20120513/1445,2176.2
20120513/1515,2178.2
20120513/1545,2176.9
20120513/1615,2175.5
20120513/1645,2175.1
20120513/1715,2173.9
20120513/1745,2174.8
20120513/1815,2177.6
20120513/1845,2183.2
20120513/1915,2186.6
20120513/1945,2184.7
20120513/2015,2186.1
20120513/2045,2185.8
20120513/2115,2182.3
20120513/2145,2180.8
20120513/2215,2178.3
20120513/2245,2179.2
20120513/2315,2180.5
20120514/0015,2183.2
20120514/0045,2181.9
20120514/0115,2182.7
20120514/0145,2180.2
20120514/0215,2180.1
20120514/0245,2177.6
20120514/0315,2176.6
20120514/0345,2179.9
20120514/0415,2180.3
20120514/0445,2178.3
20120514/0515,2176.6
20120514/0545,2176.0
20120514/0615,2172.9
20120514/0645,2173.1
20120514/0715,2175.9
20120514/0745,2178.0
20120514/0815,2178.4
20120514/0845,2179.1
20120514/0915,2180.8
20120514/0945,2178.0
20120514/1015,2178.9
20120514/1045,2181.4
20120514/1115,2180.8
20120514/1145,2184.2
20120514/1215,2185.2
20120514/1245,2182.2
20120514/1315,2181.4
20120514/1345,2182.3
20120514/1415,2186.7
20120514/1445,2184.6
20120514/1515,2180.9
20120514/1545,2186.7
20120514/1615,2190.8
20120514/1645,2187.6
20120514/1715,2184.9
20120514/1745,2187.4
20120514/1815,2187.4
20120514/1845,2187.0
20120514/1915,2182.7
20120514/1945,2178.4
20120514/2015,2178.8
20120514/2045,2177.2
20120514/2115,2177.2
20120514/2145,2176.8
20120514/2215,2174.9
20120514/2245,2175.2
20120514/2315,2173.5
20120515/0015,2175.6
20120515/0045,2172.6
20120515/0115,2173.2
20120515/0145,2174.1
20120515/0215,2168.4
20120515/0245,2162.8
20120515/0315,2161.1
20120515/0345,2158.3
20120515/0415,2159.2
20120515/0445,2159.2
20120515/0515,2158.5
20120515/0545,2163.1
20120515/0615,2163.3
20120515/0645,2161.3
20120515/0715,2167.9
20120515/0745,2174.4
20120515/0815,2172.5
20120515/0845,2172.8
20120515/0915,2173.5
20120515/0945,2168.1
20120515/1015,2164.3
20120515/1045,2165.3
20120515/1115,2163.1
20120515/1145,2160.8
20120515/1215,2160.6
20120515/1245,2156.8
20120515/1315,2162.1
20120515/1345,2166.6
20120515/1415,2158.5
20120515/1445,2153.1
20120515/1515,2160.6
20120515/1545,2173.9
20120515/1615,2175.8
20120515/1645,2164.8
20120515/1715,2159.3
20120515/1745,2160.4
20120515/1815,2154.8
20120515/1845,2153.2
20120515/1915,2156.4
20120515/1945,2154.8
20120515/2015,2153.9
20120515/2045,2153.2
20120515/2115,2147.6
20120515/2145,2146.8
20120515/2215,2149.1
20120515/2245,2145.8
20120515/2315,2145.4
20120516/0015,2145.9
20120516/0045,2145.1
20120516/0115,2146.6
20120516/0145,2143.6
20120516/0215,2139.2
20120516/0245,2138.4
20120516/0315,2140.6
20120516/0345,2136.7
20120516/0415,2133.9
20120516/0445,2132.6
20120516/0515,2132.1
20120516/0545,2141.7
20120516/0615,2152.6
20120516/0645,2162.6
20120516/0715,2174.4
20120516/0745,2177.8
20120516/0815,2169.7
20120516/0845,2173.4
20120516/0915,2181.9
20120516/0945,2176.6
20120516/1015,2179.6
20120516/1045,2175.7
20120516/1115,2155.8
20120516/1145,2145.6
20120516/1215,2151.8
20120516/1245,2162.8
20120516/1315,2177.1
20120516/1345,2190.9
20120516/1415,2186.5
20120516/1445,2165.8
20120516/1515,2157.9
20120516/1545,2160.6
20120516/1615,2160.8
20120516/1645,2160.2
20120516/1715,2158.9
20120516/1745,2160.1
20120516/1815,2160.2
20120516/1845,2163.1
20120516/1915,2164.0
20120516/1945,2163.3
20120516/2015,2164.2
20120516/2045,2165.9
20120516/2115,2169.1
20120516/2145,2171.6
20120516/2215,2173.5
20120516/2245,2171.1
20120516/2315,2166.4
20120517/0015,2165.0
20120517/0045,2162.4
20120517/0115,2162.4
20120517/0145,2160.5
20120517/0215,2156.6
20120517/0245,2155.8
20120517/0315,2157.4
20120517/0345,2158.0
20120517/0415,2156.8
20120517/0445,2155.4
20120517/0515,2155.4
20120517/0545,2153.9
20120517/0615,2152.4
20120517/0645,2153.5
20120517/0715,2158.1
20120517/0745,2157.2
20120517/0815,2156.7
20120517/0845,2160.8
20120517/0915,2162.9
20120517/0945,2163.1
20120517/1015,2164.3
20120517/1045,2164.8
20120517/1115,2166.1
20120517/1145,2156.2
20120517/1215,2146.8
20120517/1245,2151.2
20120517/1315,2147.8
20120517/1345,2140.6
20120517/1415,2136.5
20120517/1445,2141.1
20120517/1515,2147.2
20120517/1545,2149.1
20120517/1615,2147.4
20120517/1645,2140.8
20120517/1715,2139.6
20120517/1745,2142.2
20120517/1815,2138.7
20120517/1845,2140.0
20120517/1915,2144.2
20120517/1945,2142.8
20120517/2015,2144.2
20120517/2045,2148.6
20120517/2115,2147.4
20120517/2145,2139.8
20120517/2215,2134.2
20120517/2245,2127.8
20120517/2315,2121.9
20120518/0015,2105.8
20120518/0045,2101.8
20120518/0115,2104.2
20120518/0145,2107.6
20120518/0215,2103.6
20120518/0245,2105.9
20120518/0315,2106.9
20120518/0345,2099.9
20120518/0415,2095.2
20120518/0445,2093.2
20120518/0515,2098.9
20120518/0545,2105.8
20120518/0615,2105.6
20120518/0645,2108.1
20120518/0715,2108.2
20120518/0745,2106.6
20120518/0815,2107.9
20120518/0845,2117.3
20120518/0915,2124.4
20120518/0945,2126.9
20120518/1015,2127.0
20120518/1045,2137.3
20120518/1115,2150.9
20120518/1145,2152.8
20120518/1215,2154.3
20120518/1245,2144.2
20120518/1315,2127.1
20120518/1345,2120.3
20120518/1415,2118.3
20120518/1445,2121.0
20120518/1515,2128.6
20120518/1545,2133.2
20120518/1615,2138.4
20120518/1645,2137.1
20120518/1715,2137.7
20120518/1745,2139.1
20120518/1815,2140.3
20120518/1845,2149.1
20120518/1915,2151.2
20120518/1945,2146.3
20120518/2015,2141.1
20120518/2045,2134.9
20120518/2115,2131.7
20120518/2145,2133.2
20120518/2215,2135.2
20120518/2245,2134.7
20120518/2315,2135.7
20120519/0015,2140.4
20120519/0045,2138.9
20120519/0115,2139.7
20120519/0145,2138.7
20120519/0215,2130.9
20120519/0245,2122.8
20120519/0315,2121.8
20120519/0345,2120.6
20120519/0415,2115.4
20120519/0445,2114.7
20120519/0515,2116.8
20120519/0545,2116.8
20120519/0615,2117.0
20120519/0645,2116.8
20120519/0715,2121.1
20120519/0745,2124.2
20120519/0815,2120.7
20120519/0845,2122.8
20120519/0915,2128.1
20120519/0945,2125.9
20120519/1015,2120.1
20120519/1045,2121.9
20120519/1115,2126.8
20120519/1145,2128.0
20120519/1215,2128.2
20120519/1245,2133.3
20120519/1315,2137.8
20120519/1345,2142.7
20120519/1415,2145.8
20120519/1445,2153.2
20120519/1515,2162.7
20120519/1545,2162.9
20120519/1615,2161.2
20120519/1645,2160.3
20120519/1715,2165.5
20120519/1745,2167.2
20120519/1815,2168.7
20120519/1845,2175.5
20120519/1915,2171.7
20120519/1945,2160.8
20120519/2015,2158.1
20120519/2045,2160.1
20120519/2115,2160.8
20120519/2145,2158.2
20120519/2215,2157.8
20120519/2245,2153.1
20120519/2315,2147.8
20120520/0015,2149.6
20120520/0045,2150.6
20120520/0115,2147.6
20120520/0145,2143.8
20120520/0215,2140.1
20120520/0245,2136.8
20120520/0315,2137.5
20120520/0345,2139.8
20120520/0415,2142.3
20120520/0445,2144.7
20120520/0515,2147.7
20120520/0545,2150.2
20120520/0615,2153.1
20120520/0645,2157.1
20120520/0715,2159.5
20120520/0745,2157.1
20120520/0815,2154.6
20120520/0845,2157.1
20120520/0915,2157.1
20120520/0945,2155.4
20120520/1015,2154.9
20120520/1045,2156.2
20120520/1115,2159.1
20120520/1145,2158.6
20120520/1215,2156.4
20120520/1245,2159.9
20120520/1315,2161.4
20120520/1345,2160.6
20120520/1415,2163.7
20120520/1445,2166.3
20120520/1515,2163.7
20120520/1545,2162.8
20120520/1615,2164.4
20120520/1645,2166.2
20120520/1715,2165.4
20120520/1745,2160.9
20120520/1815,2161.9
20120520/1845,2164.2
20120520/1915,2163.3
20120520/1945,2166.4
20120520/2015,2169.7
20120520/2045,2169.7
20120520/2115,2170.1
20120520/2145,2169.9
20120520/2215,2172.8
20120520/2245,2172.1
20120520/2315,2170.1
20120521/0015,2174.4
20120521/0045,2176.3
20120521/0115,2174.0
20120521/0145,2172.0
20120521/0215,2172.1
20120521/0245,2173.5
20120521/0315,2172.2
20120521/0345,2170.0
20120521/0415,2169.8
20120521/0445,2171.1
20120521/0515,2174.0
20120521/0545,2173.6
20120521/0615,2172.5
20120521/0645,2174.6
